run_date,bar_date,ticker,trade,trend,regime,price,rank_score,mom_score,rs_score,rsi,rsi_zone,adx_str,vol_spurt,pattern,setup_sig,fwd_ret,dir_hit,outcome_filled
2026-05-29,2026-05-29,RELIANCE,SHORT,Bearish,Range,1321.2,38.1,23.4,43.6,38.8,Bear,Weak,DUMP2,,SHORT|Range|RSILo|Dump,,,0
2026-05-29,2026-05-29,TCS,NEUTRAL,Neutral,Range,2258.9,36.5,29.3,34.3,37.3,Bear,Weak,DUMP2,BearEng,NEUTRAL|Range|RSILo|Dump,,,0
2026-05-29,2026-05-29,HDFCBANK,NEUTRAL,Neutral,Range,744.55,35.8,27.1,34.5,39.0,Bear,Weak,DUMP2,Doji,NEUTRAL|Range|RSILo|Dump,,,0
2026-05-29,2026-05-29,INFY,SHORT,Bearish,Range,1160.9,42.4,36.6,42.7,43.9,Neutral,Weak,SPURT2,,SHORT|Range|RSILo|Spurt,,,0
2026-05-29,2026-05-29,ICICIBANK,NEUTRAL,Neutral,Range,1256.4,45.2,36.1,50.1,45.8,Neutral,Weak,Abv5+20,,NEUTRAL|Range|RSIMid|High,,,0
2026-05-29,2026-05-29,HINDUNILVR,SHORT,Bearish,Range,2153.5,37.6,20.5,44.9,38.0,Bear,Weak,DUMP2,,SHORT|Range|RSILo|Dump,,,0
2026-05-29,2026-05-29,SBIN,SHORT,Bearish,Trend,964.4,42.9,41.2,40.0,39.8,Bear,Moderate,Abv20d,,SHORT|Trend|RSILo|High,,,0
2026-05-29,2026-05-29,BHARTIARTL,NEUTRAL,Neutral,Range,1829.0,41.6,29.6,46.9,45.3,Neutral,Weak,DUMP2,BearEng,NEUTRAL|Range|RSIMid|Dump,,,0
2026-05-29,2026-05-29,ITC,NEUTRAL,Neutral,Range,286.9,34.3,19.0,37.9,35.3,Bear,Weak,Abv20d,,NEUTRAL|Range|RSILo|High,,,0
2026-05-29,2026-05-29,KOTAKBANK,SHORT,Bearish,Range,384.2,53.5,57.1,52.5,51.6,Neutral,Weak,Abv5+20,BearEng,SHORT|Range|RSIMid|High,,,0
2026-05-29,2026-05-29,LT,LONG,Bullish,Range,4076.5,63.6,78.1,59.4,62.8,Bull,Weak,Abv5+20,,LONG|Range|RSIHi|High,,,0
2026-05-29,2026-05-29,AXISBANK,NEUTRAL,Neutral,Range,1286.6,60.3,71.0,57.3,51.4,Neutral,Weak,DUMP2,,NEUTRAL|Range|RSIMid|Dump,,,0
2026-05-29,2026-05-29,ASIANPAINT,LONG,Bullish,Trend,2671.6,68.4,75.9,73.3,67.5,Bull,Moderate,DUMP2,Doji,LONG|Trend|RSIHi|Dump,,,0
2026-05-29,2026-05-29,MARUTI,NEUTRAL,Neutral,Range,13127.0,49.4,53.8,45.1,47.3,Neutral,Weak,DUMP2,BearEng,NEUTRAL|Range|RSIMid|Dump,,,0
2026-05-29,2026-05-29,TITAN,SHORT,Bearish,Range,4074.9,42.9,26.5,52.9,41.0,Neutral,Weak,Abv20d,,SHORT|Range|RSILo|High,,,0
2026-05-29,2026-05-29,SUNPHARMA,LONG,Bullish,Range,1799.2,51.3,35.2,66.3,45.9,Neutral,Weak,DUMP2,,LONG|Range|RSIMid|Dump,,,0
2026-05-29,2026-05-29,BAJFINANCE,NEUTRAL,Neutral,Range,908.25,45.5,39.4,48.0,45.5,Neutral,Weak,DUMP2,,NEUTRAL|Range|RSIMid|Dump,,,0
2026-05-29,2026-05-29,ULTRACEMCO,NEUTRAL,Neutral,Range,11482.0,47.1,40.6,51.0,45.4,Neutral,Weak,DUMP2,,NEUTRAL|Range|RSIMid|Dump,,,0
2026-05-29,2026-05-29,WIPRO,SHORT,Bearish,Range,204.25,62.7,77.9,57.4,57.9,Neutral,Weak,SPURT2,,SHORT|Range|RSIHi|Spurt,,,0
2026-05-29,2026-05-29,HCLTECH,SHORT,Bearish,Trend,1183.8,50.1,61.4,40.3,44.5,Neutral,Moderate,SPURT2,,SHORT|Trend|RSILo|Spurt,,,0
2026-05-29,2026-05-29,POWERGRID,NEUTRAL,Neutral,Range,290.55,40.6,20.1,52.7,36.3,Bear,Weak,DUMP2,BearEng,NEUTRAL|Range|RSILo|Dump,,,0
2026-05-29,2026-05-29,NTPC,NEUTRAL,Neutral,Range,386.9,53.5,38.9,68.4,45.1,Neutral,Weak,Abv20d,BearEng,NEUTRAL|Range|RSIMid|High,,,0
2026-05-29,2026-05-29,NESTLEIND,LONG,Bullish,Trend,1421.5,52.8,36.6,68.8,53.2,Neutral,Moderate,DUMP2,,LONG|Trend|RSIMid|Dump,,,0
2026-05-29,2026-05-29,TECHM,SHORT,Bearish,Range,1483.9,65.6,76.0,66.2,57.8,Neutral,Weak,Abv5+20,,SHORT|Range|RSIHi|High,,,0
2026-05-29,2026-05-29,ONGC,SHORT,Neutral,Range,265.4,37.4,11.6,52.2,31.5,Bear,Weak,DUMP2,,SHORT|Range|RSILo|Dump,,,0
2026-05-29,2026-05-29,ADANIENT,LONG,Bullish,Trend,2937.4,80.1,86.4,93.3,76.9,Bull,Strong,Abv20d,,LONG|Trend|RSIOB|High,,,0
2026-05-29,2026-05-29,TATASTEEL,NEUTRAL,Neutral,Range,208.02,53.0,37.7,68.3,46.1,Neutral,Weak,DUMP2,BearEng,NEUTRAL|Range|RSIMid|Dump,,,0
2026-05-29,2026-05-29,JSWSTEEL,NEUTRAL,Neutral,Range,1278.0,55.4,44.1,68.7,52.3,Neutral,Weak,Abv5+20,BearEng,NEUTRAL|Range|RSIMid|High,,,0
2026-05-29,2026-05-29,BAJAJFINSV,SHORT,Bearish,Range,1783.6,56.4,69.1,49.2,50.8,Neutral,Weak,Abv5+20,,SHORT|Range|RSIMid|High,,,0
2026-05-29,2026-05-29,HINDALCO,LONG,Bullish,Trend,1126.7,75.7,78.4,89.3,63.0,Bull,Moderate,DUMP2,,LONG|Trend|RSIHi|Dump,,,0
2026-05-29,2026-05-29,GRASIM,LONG,Bullish,Trend,3122.4,69.9,71.5,80.9,69.1,Bull,Moderate,Abv5+20,BearEng,LONG|Trend|RSIHi|High,,,0
2026-05-29,2026-05-29,INDUSINDBK,LONG,Bullish,Range,914.35,58.6,57.2,65.2,54.4,Neutral,Weak,Abv5+20,,LONG|Range|RSIMid|High,,,0
2026-05-29,2026-05-29,DRREDDY,NEUTRAL,Neutral,Range,1303.5,52.5,43.4,62.1,50.1,Neutral,Weak,DUMP2,,NEUTRAL|Range|RSIMid|Dump,,,0
2026-05-29,2026-05-29,CIPLA,LONG,Bullish,Trend,1401.0,61.0,60.2,68.5,59.7,Neutral,Moderate,DUMP2,,LONG|Trend|RSIHi|Dump,,,0
2026-05-29,2026-05-29,DIVISLAB,LONG,Bullish,Trend,6667.0,54.0,39.4,69.4,51.0,Neutral,Moderate,Abv20d,BearEng,LONG|Trend|RSIMid|High,,,0
2026-05-29,2026-05-29,APOLLOHOSP,LONG,Bullish,Range,8176.5,63.6,60.1,75.1,58.6,Neutral,Weak,DUMP2,Doji,LONG|Range|RSIHi|Dump,,,0
2026-05-29,2026-05-29,TRENT,LONG,Bullish,Range,4224.0,61.9,68.6,63.4,55.4,Neutral,Weak,Abv5+20,BearEng,LONG|Range|RSIHi|High,,,0
2026-05-29,2026-05-29,COALINDIA,NEUTRAL,Neutral,Range,457.9,55.8,42.2,71.3,48.9,Neutral,Weak,DUMP2,Doji,NEUTRAL|Range|RSIMid|Dump,,,0
2026-05-29,2026-05-29,BRITANNIA,SHORT,Bearish,Trend,5204.5,35.0,19.7,39.1,30.0,Bear,Moderate,DUMP2,,SHORT|Trend|RSILo|Dump,,,0
2026-05-29,2026-05-29,EICHERMOT,SHORT,Bearish,Range,7177.0,59.3,70.2,55.5,51.4,Neutral,Weak,DUMP2,,SHORT|Range|RSIMid|Dump,,,0
2026-05-29,2026-05-29,HEROMOTOCO,SHORT,Bearish,Range,4903.0,39.5,27.1,43.9,40.3,Neutral,Weak,DUMP2,BearEng,SHORT|Range|RSILo|Dump,,,0
2026-05-29,2026-05-29,BPCL,SHORT,Bearish,Range,298.1,49.0,58.1,40.5,48.6,Neutral,Weak,DUMP2,BearEng,SHORT|Range|RSIMid|Dump,,,0
2026-05-29,2026-05-29,SHREECEM,LONG,Bullish,Range,25275.0,61.3,70.7,60.2,55.9,Neutral,Weak,DUMP2,BearEng,LONG|Range|RSIHi|Dump,,,0
2026-05-29,2026-05-29,M&M,NEUTRAL,Neutral,Range,3045.6,38.9,26.1,43.1,42.4,Neutral,Weak,DUMP2,,NEUTRAL|Range|RSILo|Dump,,,0
2026-05-29,2026-05-29,ADANIPORTS,LONG,Bullish,Trend,1804.6,67.6,61.4,84.0,64.9,Bull,Moderate,Abv5d,BearEng,LONG|Trend|RSIHi|High,,,0
2026-05-29,2026-05-29,BAJAJ-AUTO,LONG,Bullish,Trend,10460.0,64.3,57.1,79.5,55.1,Neutral,Moderate,,,LONG|Trend|RSIHi|Norm,,,0
2026-05-29,2026-05-29,HDFCLIFE,SHORT,Bearish,Range,594.8,38.7,29.4,39.8,42.1,Neutral,Weak,Abv5+20,,SHORT|Range|RSILo|High,,,0
2026-05-29,2026-05-29,SBILIFE,NEUTRAL,Neutral,Range,1830.1,43.5,30.9,50.5,43.0,Neutral,Weak,DUMP2,,NEUTRAL|Range|RSILo|Dump,,,0
2026-05-29,2026-05-29,BEL,NEUTRAL,Neutral,Range,410.75,41.5,23.8,51.7,37.8,Bear,Weak,DUMP2,,NEUTRAL|Range|RSILo|Dump,,,0
2026-05-29,2026-05-29,ABB,NEUTRAL,Neutral,Range,7253.0,76.4,83.6,86.7,65.1,Bull,Weak,SPURT2,,NEUTRAL|Range|RSIHi|Spurt,,,0
2026-05-29,2026-05-29,ADANIGREEN,LONG,Bullish,Trend,1475.4,78.8,79.0,96.7,72.2,Bull,Strong,,,LONG|Trend|RSIOB|Norm,,,0
2026-05-29,2026-05-29,ADANIPOWER,LONG,Bullish,Trend,243.37,80.0,80.8,98.0,69.9,Bull,Moderate,Abv20d,BearEng,LONG|Trend|RSIHi|High,,,0
2026-05-29,2026-05-29,AMBUJACEM,SHORT,Bearish,Range,447.85,55.4,71.9,44.3,52.6,Neutral,Weak,,BearEng,SHORT|Range|RSIMid|Norm,,,0
2026-05-29,2026-05-29,DMART,LONG,Bullish,Trend,4054.5,39.2,14.3,54.2,31.6,Bear,Moderate,DUMP2,BearEng,LONG|Trend|RSILo|Dump,,,0
2026-05-29,2026-05-29,BAJAJHLDNG,LONG,Bullish,Range,10361.0,48.7,44.3,51.7,50.0,Neutral,Weak,DUMP2,,LONG|Range|RSIMid|Dump,,,0
2026-05-29,2026-05-29,BAJAJHFL,NEUTRAL,Neutral,Range,84.89,51.1,54.9,48.4,48.9,Neutral,Weak,,,NEUTRAL|Range|RSIMid|Norm,,,0
2026-05-29,2026-05-29,BANKBARODA,SHORT,Bearish,Range,268.5,57.6,70.8,50.8,50.5,Neutral,Weak,Abv20d,BearEng,SHORT|Range|RSIMid|High,,,0
2026-05-29,2026-05-29,BOSCHLTD,NEUTRAL,Neutral,Range,36625.0,60.5,62.5,65.3,52.2,Neutral,Weak,SPURT2,,NEUTRAL|Range|RSIMid|Spurt,,,0
2026-05-29,2026-05-29,CANBK,SHORT,Bearish,Range,130.8,45.9,46.7,42.6,46.2,Neutral,Weak,DUMP2,BearEng,SHORT|Range|RSIMid|Dump,,,0
2026-05-29,2026-05-29,CHOLAFIN,SHORT,Bearish,Range,1537.7,47.4,39.9,52.3,46.4,Neutral,Weak,Abv20d,BearEng,SHORT|Range|RSIMid|High,,,0
2026-05-29,2026-05-29,CGPOWER,LONG,Bullish,Trend,917.45,77.2,81.9,90.0,68.3,Bull,Moderate,DUMP2,,LONG|Trend|RSIHi|Dump,,,0
2026-05-29,2026-05-29,DLF,SHORT,Bearish,Range,590.6,55.9,67.0,49.8,52.3,Neutral,Weak,DUMP2,,SHORT|Range|RSIMid|Dump,,,0
2026-05-29,2026-05-29,GODREJCP,SHORT,Bearish,Range,1029.3,45.3,43.7,43.8,45.8,Neutral,Weak,Abv5+20,,SHORT|Range|RSIMid|High,,,0
2026-05-29,2026-05-29,GODREJPROP,NEUTRAL,Neutral,Range,1762.7,50.7,54.8,47.6,50.9,Neutral,Weak,DUMP2,,NEUTRAL|Range|RSIMid|Dump,,,0
2026-05-29,2026-05-29,HAVELLS,SHORT,Bearish,Range,1176.8,37.3,26.8,38.5,37.4,Bear,Weak,DUMP2,BearEng,SHORT|Range|RSILo|Dump,,,0
2026-05-29,2026-05-29,HAL,NEUTRAL,Neutral,Range,4303.8,49.0,32.1,63.1,44.2,Neutral,Weak,DUMP2,,NEUTRAL|Range|RSILo|Dump,,,0
2026-05-29,2026-05-29,HINDZINC,NEUTRAL,Neutral,Range,632.95,64.9,53.6,84.1,54.9,Neutral,Weak,,,NEUTRAL|Range|RSIMid|Norm,,,0
2026-05-29,2026-05-29,HYUNDAI,LONG,Bearish,Range,1924.0,60.5,79.6,50.3,61.5,Bull,Weak,SPURT2,,LONG|Range|RSIHi|Spurt,,,0
2026-05-29,2026-05-29,ICICIGI,NEUTRAL,Neutral,Range,1792.2,48.7,42.2,53.6,46.0,Neutral,Weak,DUMP2,,NEUTRAL|Range|RSIMid|Dump,,,0
2026-05-29,2026-05-29,ICICIPRULI,SHORT,Bearish,Range,503.95,34.4,22.2,35.4,37.0,Bear,Weak,DUMP2,,SHORT|Range|RSILo|Dump,,,0
2026-05-29,2026-05-29,INDUSTOWER,NEUTRAL,Neutral,Range,442.05,68.5,80.8,69.3,63.6,Bull,Weak,Abv5+20,,NEUTRAL|Range|RSIHi|High,,,0
2026-05-29,2026-05-29,IOC,SHORT,Bearish,Range,140.24,49.1,57.3,41.4,47.7,Neutral,Weak,DUMP2,BearEng,SHORT|Range|RSIMid|Dump,,,0
2026-05-29,2026-05-29,IRFC,SHORT,Bearish,Range,97.51,37.2,25.0,39.8,40.8,Neutral,Weak,,,SHORT|Range|RSILo|Norm,,,0
2026-05-29,2026-05-29,NAUKRI,SHORT,Bearish,Range,995.0,58.2,77.0,46.9,55.5,Neutral,Weak,DUMP2,,SHORT|Range|RSIHi|Dump,,,0
2026-05-29,2026-05-29,JIOFIN,SHORT,Bearish,Range,238.95,46.0,46.1,43.5,48.4,Neutral,Weak,Abv5+20,BearEng,SHORT|Range|RSIMid|High,,,0
2026-05-29,2026-05-29,LICI,LONG,Bullish,Range,411.35,56.6,62.7,55.3,54.2,Neutral,Weak,,,LONG|Range|RSIMid|Norm,,,0
2026-05-29,2026-05-29,LODHA,LONG,Neutral,Range,938.1,58.8,77.2,48.1,61.0,Bull,Weak,SPURT2,,LONG|Range|RSIHi|Spurt,,,0
